Tweet ID,Entity,Text,Cleaned_Text,Filtered_Text
6001,FIFA,The fact that Andy Gray hates this so much makes me love the idea EVEN more.,the fact that andy gray hates this so much makes me love the idea even more,fact andy gray hates much makes love idea even
6001,FIFA,The fact that Andy Gray hates it so much makes me love the idea all the more.,the fact that andy gray hates it so much makes me love the idea all the more,fact andy gray hates much makes love idea
6001,FIFA,The fact that Andy Gray hates it so much makes me love the idea more.,the fact that andy gray hates it so much makes me love the idea more,fact andy gray hates much makes love idea
6001,FIFA,The fact that Andy himself hates this so much makes me love the idea EVEN more.,the fact that andy himself hates this so much makes me love the idea even more,fact andy hates much makes love idea even
6001,FIFA,The fact that Andy Gray probably hates this so much makes me love hearing the idea called EVEN more.,the fact that andy gray probably hates this so much makes me love hearing the idea called even more,fact andy gray probably hates much makes love hearing idea called even
6001,FIFA,The fact that Andy Gray hates this so much made me relish the idea EVEN more.,the fact that andy gray hates this so much made me relish the idea even more,fact andy gray hates much made relish idea even
6002,FIFA,In a good mood rn going to buy 3 people Fifa 21 Retweet & comment your PayPal.,in a good mood rn going to buy people fifa retweet comment your paypal,good mood rn going buy people fifa retweet comment paypal
6002,FIFA,Cheerful I buy 3 people Fifa 21 retweet & comment your paypal.,cheerful i buy people fifa retweet comment your paypal,cheerful buy people fifa retweet comment paypal
6002,FIFA,In good spirits I'm going to buy 3 people a Fifa 21 Retweet and comment on my PayPal.,in good spirits im going to buy people a fifa retweet and comment on my paypal,good spirits im going buy people fifa retweet comment paypal
6002,FIFA,In a good mood rn going to thank 3 people Fifa 21 Retweet & comment on PayPal.,in a good mood rn going to thank people fifa retweet comment on paypal,good mood rn going thank people fifa retweet comment paypal
6002,FIFA,Bye In a good mood rn and going in to buy 3 people Fifa 21 Retweet & comment your view PayPal.,bye in a good mood rn and going in to buy people fifa retweet comment your view paypal,bye good mood rn going buy people fifa retweet comment view paypal
6002,FIFA,In my good mood rn going to buy 3 people Fifa 21 Retweet someone comment your post.,in my good mood rn going to buy people fifa retweet someone comment your post,good mood rn going buy people fifa retweet someone comment post
6003,FIFA,Because of  ,because of,
6003,FIFA,Because -,because,
6003,FIFA,11 Because of,because of,
6003,FIFA,Because there,because there,
6004,FIFA,Black Stars dip in latest FIFA rankings for the Month of October talksafrica.com/black-stars-di…,black stars dip in latest fifa rankings for the month of october talksafricacomblackstarsdi,black stars dip latest fifa rankings month october talksafricacomblackstarsdi
6004,FIFA,Black Stars appear in the latest FIFA rankings for the month of October from talksafrica.com / black-stars-di...,black stars appear in the latest fifa rankings for the month of october from talksafricacom blackstarsdi,black stars appear latest fifa rankings month october talksafricacom blackstarsdi
6004,FIFA,Black Stars dip in the latest FIFA ranking for the Month of October talksafrica.com / black-stars-di...,black stars dip in the latest fifa ranking for the month of october talksafricacom blackstarsdi,black stars dip latest fifa ranking month october talksafricacom blackstarsdi
6004,FIFA,Black Stars Rank in ICC FIFA rankings for the Month of October talksafrica.com/black-stars-di…,black stars rank in icc fifa rankings for the month of october talksafricacomblackstarsdi,black stars rank icc fifa rankings month october talksafricacomblackstarsdi
6004,FIFA,Black Stars dip in both latest FIFA official rankings for the Month of The October talksafrica. com / black - stars - di …,black stars dip in both latest fifa official rankings for the month of the october talksafrica com black stars di,black stars dip latest fifa official rankings month october talksafrica com black stars di
6004,FIFA,Black Squad feature in latest FIFA rankings for the Month of October 2012.com/black-stars-di...,black squad feature in latest fifa rankings for the month of october comblackstarsdi,black squad feature latest fifa rankings month october comblackstarsdi
6005,FIFA,"Fifa’s auto defending is so damn flawed, amateur level shit",fifas auto defending is so damn flawed amateur level shit,fifas auto defending damn flawed amateur level shit
6005,FIFA,"Fifa's auto-defence is so damn flawed, shit at amateur level",fifas autodefence is so damn flawed shit at amateur level,fifas autodefence damn flawed shit amateur level
6005,FIFA,"Fifa's auto defense is so devilishly overblown, at amateur level crap",fifas auto defense is so devilishly overblown at amateur level crap,fifas auto defense devilishly overblown amateur level crap
6005,FIFA,"Fifa’s rape defending is so damn flawed, amateur level shit",fifas rape defending is so damn flawed amateur level shit,fifas rape defending damn flawed amateur level shit
6005,FIFA,"Fifa ’ s auto team defending is about so damn flawed, only amateur level shit",fifa s auto team defending is about so damn flawed only amateur level shit,fifa auto team defending damn flawed amateur level shit
6005,FIFA,"Fifa’s auto defending is really terribly flawed, amateur level shit",fifas auto defending is really terribly flawed amateur level shit,fifas auto defending really terribly flawed amateur level shit
6006,FIFA,Wow,wow,wow
6006,FIFA,Chapter Wow,chapter wow,chapter wow
